login_id,login,color,sex,links_added_count,links_published_count,comments_count,followers,following,entries,entries_comments,diggs
1866,kojos,1,2,30,12,40,23,28,1595,4406,4263
1078,Jell-o,1,2,0,0,44,5,4,76,2575,45
27960,duszy-szum,1,0,1,0,9,0,1,2,23,20
44451,Domq,1,2,1,0,24,0,8,65,219,305
20938,ClinicalDepression,1,1,0,0,0,1,4,2,29,1
21531,Lildeevil_,1,0,0,0,1,5,29,5,137,0
5734,Kamil32123,1,2,39,10,1510,6,8,244,1729,254
29040,Storczycki,1,2,1,0,45,7,41,235,3138,424
48706,wieesieek,1,2,0,0,51,2,7,250,1227,1045
22032,rafges,1,0,1,0,1,1,1,1,2,2
15062,AnkieterPrzegrywu,1,0,0,0,8,0,1,3,268,286
42295,crawlej,1,0,0,0,1,0,0,3,23,40
49484,Aborygent,1,2,0,0,253,0,2,15,192,305
12552,oddajciemikontozlodzieje,1,2,0,0,372,2,1,75,367,153
9158,magnat32,1,2,4,0,79,2,1,117,2304,79
36968,hunter_,1,0,5,0,13,0,4,9,44,7711
15762,allegro_pl,1,0,2,1,522,129,1,20,2543,4
49469,idk_nvm,1,0,0,0,25,1,1,25,366,12
36548,Wodka_z_batatow,1,1,0,0,2,5,9,65,425,0
39446,TomekNAUK,1,2,0,0,1897,5,40,9,273,4219
6196,IsambardKingdomBrunel,1,2,6,0,597,6,7,275,661,283
48655,Maraschino,1,2,0,0,7,1,21,9,50,175
819,Andrzejsynbogdana,1,2,1,0,36,47,28,1601,4680,280
38362,Ramone,1,2,6,1,1769,5,7,21,2751,2566
29761,Psychol7,0,0,0,0,0,0,1,5,8,0
796,Flegamin1665338085,1,0,0,0,8,0,1,4,78,11
17579,casperod,1,2,0,0,1,1,8,226,901,184
21558,Safana,1,1,4,0,65,2,11,0,41,28
15951,kuraku,1,2,0,0,322,51,18,1921,11439,2286
39244,max-mado-77,1,2,16,1,164,0,3,41,75,1161
44470,LugVan,1,2,0,0,8,3,14,234,930,55
7640,kura-borzenka,1,1,1,0,108,15,7,34,458,769
7293,golonko,1,2,0,0,6,4,1,21,104,3
26565,WykopnyLogin,1,1,7,1,233,0,3,3,35,3882
21420,al_cohones,1,0,0,0,163,4,16,577,1084,739
40906,mateusz-hmh,1,2,27,0,909,0,0,4,131,14
23276,imdejv1,1,0,1,1,647,1,7,92,356,437
5889,torunianin-17,1,2,16,4,64,10,7,271,419,4930
33185,rybak17,1,2,0,0,1613,35,13,600,9942,6412
16930,niezesrajciesie,1,0,0,0,514,0,1,3,53,5
50030,Fortepianino,1,2,16,1,727,1,0,155,368,1320
18361,cichy1509,1,0,0,0,0,1,1,6,75,2
38879,Siejczan-kebabianu,1,2,0,0,0,2,10,15,226,5
39392,pexx,1,2,2,0,52,0,0,2,39,28
44759,marta_am,1,1,0,0,11,0,1,10,30,16
46191,Chimichanga888,1,1,1,0,0,5,5,180,122,0
15927,sylXXXXXwia,1,1,3,0,0,3,13,33,598,2
33320,sjasmin,1,1,4,0,123,51,2,212,703,69
31029,kiedysgralemwtibie,1,2,0,0,9,1,8,0,115,95
28195,ThreeTree,1,2,3,1,181,2,5,7,94,658
45587,kacper-glazewski,1,0,0,0,13,1,1,140,585,0
43213,RudySzarik,1001,2,6,1,22,0,9,73,334,4114
11525,Creed-Bratton,1001,2,0,0,1327,2,2,14,307,1289
3502,materacci,1,2,1,0,238,0,7,9,152,3078
31886,bazylo,1,2,1,0,47,71,164,3043,20481,10563
21976,DonnaPaulsen,1,1,1,0,0,2,21,220,391,3
36928,AdamMichnik2137,1,1,0,0,0,1,3,7,62,11
49117,r4zz,1,2,0,0,2,0,5,7,60,895
37211,manedhel,1,2,1,1,71,232,2,380,2929,240
8143,Bradley12,1,2,47,8,260,0,5,45,181,3684
32169,waciak,1,2,18,1,2149,7,14,974,14639,3184
12656,S4ggit4rius,1,2,1,0,1,0,3,211,194,167
46014,bobudowniczy,1,2,1,0,7,8,103,259,2428,360
46297,SzalonaFoka,1,1,0,0,0,0,5,8,46,18
37647,mijko,1,2,0,0,500,0,3,1,25,5809
31126,Buthole,1,2,0,0,0,1,3,43,447,0
26326,polop0123,1,2,1,0,0,2,7,729,904,5
33819,kaziqqq,1,2,0,0,9,0,2,2,46,410
9083,MaxiPans,1,0,0,0,0,0,1,1,5,5
33650,Samael2,1,0,0,0,30,0,5,2,79,33
44967,maniabania,1,0,0,0,0,1,2,49,212,0
15781,nickjaknick,1,2,6,1,191,9,15,232,1021,254
15966,Patus_Michal_Pol,1,0,5,0,50,4,13,456,2509,18
37729,Bez_precedensu,1,0,0,0,1,1,1,199,227,0
11358,szpernik,1,2,0,0,0,4,9,515,692,7
35311,Nimp,1,2,1,0,2,10,0,57,143,2
45511,Martwiak,1,2,185,40,2293,56,34,384,2499,5595
8365,BoMiTakKazali,1,2,0,0,24,1,3,6,147,4
43721,swiatusss,1,2,1,0,217,3,1,137,611,367
21730,Reynald,1,2,39,4,432,6,17,279,1685,34364
35069,Jokkaa,1,0,0,0,0,1,1,100,658,1
29906,SHOGOKI,1,2,21,3,601,116,97,329,2105,4323
6050,renholder,1,2,0,0,14,1,7,36,209,1883
8953,mitochondrion,1,1,0,0,1,5,5,74,546,51
42626,JarekNoooTego,1,2,0,0,0,0,0,31,199,0
35989,Show,1,2,1,0,3,4,5,625,428,35
31240,JaTegoNiePowiedzialem,1,2,6,1,497,9,18,1930,6714,150
40443,Frollo,1,2,4,1,81,49,43,260,2053,4250
35973,karemhunter,1,2,0,0,49,3,7,638,332,2856
45706,Jandori,1,2,1,0,6,0,1,1356,81,0
27513,Statyk,1,2,0,0,1,0,0,0,14,38
50464,szanowany_warszawiak,1,2,0,0,31,1,3,97,417,118
26820,Bencorek,1,2,0,0,6,0,1,10,211,45
46146,inverted08,1,2,0,0,2,1,1,245,557,1
21655,kazly,1,2,0,0,218,1,8,42,496,126
39624,KonQ,1,2,0,0,46,1,1,18,249,9172
16811,CacyIsBack,1,2,1,1,57,79,74,943,7635,323
26588,SuperTimor435,1,0,0,0,0,0,0,2,170,0
50231,Matkaboskatorunska,1,1,0,0,17,19,6,189,807,26
6536,kondiq22,1,2,0,0,5,4,9,182,977,679
34859,Florentino,1,2,0,0,410,15,1,97,1025,372
2879,Elfiowies,1,0,0,0,5,1,4,17,48,296
34007,Lamborghini_hc4l,1,0,0,0,3,0,7,8,44,137
11010,nutellowy,1,0,1,0,132,12,0,25,2144,1
44260,Cyprok,1,2,0,0,32,2,0,122,555,394
23162,jkca,1,1,0,0,0,0,1,0,157,0
10825,Adadid,1,2,41,1,18,0,1,39,53,34
10906,ykuleczka,1,2,0,0,51,9,6,439,4459,6881
28136,szczypiorex,1,0,2,0,59,1,7,23,141,336
26619,sos3n,1,2,1,0,233,1,0,3,86,782
23771,deniu,1,2,2,0,31,2,14,35,463,68
25057,PortowySzczur,1,2,1,0,56,1,19,28,1004,219
3087,ziliki,1,2,6,0,104,1,3,31,470,3011
44903,huruk91,1,2,0,0,413,1,1,19,33,714
3962,BenekTG,1,2,1,0,31,22,6,45,496,479
43456,kubal251,1,2,0,0,55,6,4,61,2009,1923
40955,JanuszGumwno,1,2,0,0,98,3,2,70,301,365
26493,gr0nczek_,1,2,2,0,35,11,29,244,1559,306
45797,CzyJestCosWiecej,1,0,0,0,6,3,5,89,301,5548
14809,Filem00n,1,2,2,0,539,11,68,656,4731,2443
46409,Metex68,1,2,0,0,2,2,9,41,20,62
28756,r3pr3z3nt,1,2,152,29,3665,15,18,306,3623,13165
48699,Yhymcoo,1,0,0,0,0,0,2,14,13,77
7149,doddy,1,2,0,0,65,1,1,0,124,27
8847,Gerald212,1,0,0,0,1,0,2,81,60,21
25422,kaspe,1,2,6,1,599,2,3,33,711,1775
32649,jackalsky,1,2,0,0,0,0,1,12,292,58
11416,reboot,1,2,1,0,107,3,5,89,1260,4950
8763,sokollloman,1,2,22,2,409,0,1,0,12,1272
36849,Sekularyzacja,1,0,0,0,190,4,1,293,571,16
28042,FilusN,1,2,0,0,4,2,28,30,142,30
46996,ktokiedy82,1,2,0,0,12,5,6,24,386,39
46859,fanmarcinamillera,1,2,0,0,1,1,2,167,256,0
2557,Czerwony_Krokodyl,1,1,2,0,23,37,137,612,1540,432
50159,dzejdzejonca,1,2,0,0,0,2,3,58,104,3
27808,Judiman,1,2,2,1,13,2,8,18,213,36
36820,ucraftpl,1,2,0,0,9,0,4,36,80,20
31048,cns,1,2,4,0,381,3,11,222,1504,482
41046,sikawa,1,1,0,0,0,0,0,2,0,0
19267,mirusmireczek,1,2,2,0,9,2,9,418,939,83
25328,Mbt_Grt,1,2,3,0,534,0,3,47,555,206
7628,Cyberspx,1,2,1,0,2,1,2,9,71,5
32676,LubieKawe,1,2,18,0,763,5,4,235,1020,3136
7575,body87,1,2,0,0,1,0,1,65,149,3
27159,zdzisiu196,1,2,64,21,900,6,35,239,418,1123
29776,Cisek44,1,2,6,2,142,29,12,256,712,508
4588,Olomir,1,2,0,0,0,0,0,271,53,1262
15165,merfe,1,0,0,0,0,0,3,84,84,2
19451,revant,1,0,0,0,0,1,1,0,61,0
31062,KalaFFior,1,2,20,5,2454,3,8,11,1464,5267
11834,Igor_x,1,2,0,0,1427,2,2,37,509,103
39998,PorzeczkowyEryk,1,2,0,0,1,1,9,53,171,4
47928,cassuss,1,2,8,0,254,1,3,11,115,1156
1395,HiImNatalia26,1,1,2,0,0,3,1,17,54,2
38069,JKej,1,2,0,0,0,1,13,1,1,47
21268,gadajacy-odbyt-bozq,1,0,0,0,1,0,1,154,388,2
6718,shwejk,1,2,1,1,181,2,5,152,804,15
10695,cohontes,1,2,0,0,100,4,2,117,657,322
12409,RuffledFrump,1,2,0,0,1,6,2,193,920,1
42157,Smartass,1,1,0,0,25,4,3,1,111,163
19495,KombinatorAstralny,1,2,1,0,13,3,10,42,384,30
30536,SzubiDubiDu,1,2,5,1,424,33,31,805,2221,329
4839,dasiekTB,1,2,39,7,1388,6,2,1033,1131,566
50149,zgedi9,1,2,15,3,77,0,1,34,40,247
32780,anek-oss,1,0,0,0,0,0,0,14,31,0
40975,wnukgorala,1,0,0,0,2,1,9,13,62,196
31996,Tsukitsuki,1,1,0,0,3,0,0,113,214,775
36119,Paula0404,1,0,0,0,13,0,1,0,26,7
